program,sig_gene
lipo,FABP5
lipo,FAM126A
lipo,FAM126B
lipo,FAR1
lipo,FBXW7
lipo,FGF2
lipo,FIG4
lipo,FITM2
lipo,GNPAT
lipo,GPAA1
lipo,GPAT3
lipo,GPLD1
lipo,HDHD5
lipo,HTR2A
lipo,HTR2B
lipo,HTR2C
lipo,IMPA1
lipo,IMPA2
lipo,INPP1
lipo,INPP4A
lipo,INPP4B
lipo,INPP5D
lipo,INPP5E
lipo,INPP5F
lipo,INPP5J
lipo,INPP5K
lipo,INPPL1
lipo,IP6K1
lipo,IP6K2
lipo,IP6K3
lipo,IPMK
lipo,ITPKA
lipo,ITPKB
lipo,ITPKC
lipo,LCAT
lipo,LCLAT1
lipo,LIPH
lipo,LIPI
lipo,LPCAT1
lipo,LPCAT2
lipo,LPCAT3
lipo,LPCAT4
lipo,LPGAT1
lipo,MBOAT7
lipo,MFSD2A
lipo,MIR29B1
lipo,MIR30C1
lipo,MIR548P
lipo,MPPE1
lipo,MTM1
lipo,MTMR1
lipo,MTMR14
lipo,MTMR2
lipo,MTMR3
lipo,MTMR4
lipo,MTMR6
lipo,MTMR7
lipo,NR1H4
lipo,OCRL
lipo,P3R3URF
lipo,PCK1
lipo,PCK2
lipo,PCYT1B
lipo,PDGFA
lipo,PDGFB
lipo,PGAP1
lipo,PGAP2
lipo,PGAP3
lipo,PGAP4
lipo,PGS1
lipo,PI4K2A
lipo,PI4K2B
lipo,PI4KA
lipo,PI4KAP1
lipo,PI4KAP2
lipo,PI4KB
lipo,PIGA
lipo,PIGB
lipo,PIGC
lipo,PIGF
lipo,PIGG
lipo,PIGH
lipo,PIGK
lipo,PIGL
lipo,PIGM
lipo,PIGN
lipo,PIGO
lipo,PIGP
lipo,PIGQ
lipo,PIGS
lipo,PIGT
lipo,PIGU
lipo,PIGV
lipo,PIGW
lipo,PIGX
lipo,PIGY
lipo,PIGZ
lipo,PIK3C2A
lipo,PIK3C2B
lipo,PIK3C2G
lipo,PIK3C3
lipo,PIK3CB
lipo,PIK3CD
lipo,PIK3CG
lipo,PIK3R1
lipo,PIK3R2
lipo,PIK3R3
lipo,PIK3R4
lipo,PIK3R6
lipo,PIKFYVE
lipo,PIP4K2A
lipo,PIP4K2B
lipo,PIP4K2C
lipo,PIP5K1A
lipo,PIP5K1B
lipo,PIP5K1C
lipo,PIP5KL1
lipo,PIPSL
lipo,PITPNM1
lipo,PITPNM2
lipo,PITPNM3
lipo,PLA2G15
lipo,PLA2G4A
lipo,PLA2G4C
lipo,PLA2G6
lipo,PLCE1
lipo,PLCG2
lipo,PLD2
lipo,PLIN5
lipo,PLSCR1
lipo,PLSCR3
lipo,PTEN
lipo,PTPMT1
lipo,RAB38
lipo,RGN
lipo,SACM1L
lipo,SELENOI
lipo,SH3YL1
lipo,SIK1
lipo,SLA2
lipo,SLC27A1
lipo,SLC44A1
lipo,SLC44A2
lipo,SLC44A3
lipo,SLC44A4
lipo,SLC44A5
lipo,SMG1
lipo,SOCS1
lipo,SOCS2
lipo,SOCS3
lipo,SOCS4
lipo,SOCS5
lipo,SOCS6
lipo,SOCS7
lipo,SYNJ1
lipo,SYNJ2
lipo,TAFAZZIN
lipo,TAMM41
lipo,THRSP
lipo,TMEM150A
lipo,TPTE2
lipo,TTC7A
lipo,TTC7B
lipo,UVRAG
lipo,VAC14
lipo,ACHE
lipo,AGK
lipo,ALPI
lipo,BCHE
lipo,CPNE1
lipo,CPNE3
lipo,CPNE6
lipo,CPNE7
lipo,CSNK2A1
lipo,CSNK2A2
lipo,CSNK2B
lipo,DDHD1
lipo,DDHD2
lipo,ETNPPL
lipo,GPCPD1
lipo,GPD1
lipo,GPD1L
lipo,GPD2
lipo,HADHA
lipo,HADHB
lipo,MBOAT1
lipo,MBOAT2
lipo,MGLL
lipo,MIGA1
lipo,MIGA2
lipo,OSBPL10
lipo,OSBPL5
lipo,OSBPL8
lipo,PCTP
lipo,PHOSPHO1
lipo,PITPNB
lipo,PLA1A
lipo,PLA2G10
lipo,PLA2G12A
lipo,PLA2G2A
lipo,PLA2G2D
lipo,PLA2G2E
lipo,PLA2G2F
lipo,PLA2G3
lipo,PLA2G4B
lipo,PLA2G4D
lipo,PLA2G4E
lipo,PLA2G4F
lipo,PLA2G5
lipo,PLA2R1
lipo,PLAAT1
lipo,PLAAT2
lipo,PLAAT3
lipo,PLAAT4
lipo,PLAAT5
lipo,PLB1
